OC.A	I/aa	Marque of the complément (devant the pronoms et noms propres)	Marque du complément (devant les pronoms et noms propres)
NP.AE	ʔAe	Oui, forme expressive of 'ee, qui peut dénoter of the sentiments divers suivant l'intonation	Oui, forme expressive de 'ee, qui peut dénoter des sentiments divers suivant l'intonation
NP.QAFA-TEA	Ahatea	Name of a tree used for keels of boats (Nauclea sp.)	(Aca)
NP.AFE.1B	Ahe/ahe	Emptiness; empty (as the stomach)Uncertain Semantic Connection	(Dvs)
PN.QAA-FEA	Aafea, aahea	Quand interrogatif, interrogation on un évènement non accompli	Quand interrogatif, interrogation sur un évènement non accompli
AN.AFI	Ahi	Fire	(Dvs)
AN.AFI	Au/ahi	Feu (combustion)	(Lmt)
AN.AFIAFI	Ahiahi	Soir, soirée	Soir, soirée
MP.AFO	Aho	Thread, cord, twine	(Dvs)
CE.AHO	Aho	Souffle, respiration, haleine	(Lmt)
PN.QAFU.1	Ahu	Chaleur radiante; dégager of the chaleur par radiation, chauffer en parlant of the piment; fièvre, avoir the fièvre	Chaleur radiante; dégager de la chaleur par radiation, chauffer en parlant du piment; fièvre, avoir la fièvre
PN.QAFU.1	Ahu/ahu	Hot, sultry, not airy; the heat of the sun or of clothes	(Dvs)
EO.QAFU.2	Ahu	To throw up or huddle toegher a heap of things; to pile up stones or throw up earth, as for a fortification; to put up the wall of a marae; to make an inclosure to catch fish in shallow places (Dvs). Plate-forme supérieure of the marae (Lmt)	To throw up or huddle toegher a heap of things; to pile up stones or throw up earth, as for a fortification; to put up the wall of a marae; to make an inclosure to catch fish in shallow places (Dvs). Plate-forme supérieure des marae (Lmt)
NP.AAFUA	Ahua	Traits caracteristiques	(Lmt)
PN.QAAFUA	Aahua	Un endroit of the lagon rempli of corail or the embarcations ne peuvent pas passer	Un endroit du lagon rempli de corail ou les embarcations ne peuvent pas passer
NP.QAFULU	Ahuru	Barbillon, fish of the famille of the Mullidae (Parupeneus barberinus)	Barbillon, poisson de la famille des Mullidae (Parupeneus barberinus)
CK.AGI.3	Aiai	A species of the pandanus (called also fara vao)Problematic	(Dvs)
NP.QAGO.A	A/ao	Thin, wasted by disease	(Dvs)
AN.QAHO	Ao	Day (the lumière of the day)	Jour (la lumière du jour)
AN.QAHU.2	Au	Smoke, vapour	(Dvs)
OC.AI.1	Ai	(aprè the formes verbales) Indique qu'un terme qui précède...précise the cause or the circonstances of l'action	(aprè les formes verbales) Indique qu'un terme qui précède...précise la cause ou les circonstances de l'action
MP.QAI.2	Ai	Copulate, applied to both sexes	(Dvs)
TA.AISE	Aaiha	Débris amenés to the rivage par the mer or the rivières; débris quelconques [Iles Under the Vent (Leeward islands) Dialect]	Débris amenés au rivage par la mer ou les rivières; débris quelconques [Iles Sous le Vent (Leeward islands) Dialect]
AN.QAITU	Aitu	God or goddess	(Dvs)
AN.AKA.A	Aʔa	Root (of the plantes); infrabase fibreuse to the naissance of the palmes of cocotier	Racine (des plantes); infrabase fibreuse à la naissance des palmes de cocotier
CE.KAPU.1B	Abu rima, apu/rima	The hollow of the hand	(Dvs)
MP.KAPU.1A	Abu, apu	The shell of a nut, gourd, or fish; a concave or hollow...	The shell of a nut, gourd, or fish; a concave or hollow...
PN.AKE.A	Ae	The name of a sweet-scented plant, used for the sweet monoi or native oil	(Dvs)
MP.AKO	Aʔo	Conseille, avertissement; give of the conseils, give un avertissement, prêcher	Conseille, avertissement; donner des conseils, donner un avertissement, prêcher
CE.AA-KUA-NEI	Aaʔuanei	Tout to l' heure; tantôt (non accompli)	Tout à l' heure; tantôt (non accompli)
FJ.QARA	Ara	Réveil (action of se réveiller)	Réveil (action de se réveiller)
PN.AALAI	Aarai	Protect. S' interposer, empêcher (Lmt).	Protect. S' interposer, empêcher (Lmt).
NP.ALAALA	Araara/vî	The name of a fish, which when full grown is called hiroa	(Dvs)
TA.ARA-TAURA	Arataura	A rope ladder; a rope to climb by; one placed as a guide for a blind person	A rope ladder; a rope to climb by; one placed as a guide for a blind person
OC.QALAWA	ʔArava. Maʔo ʔaarava (Bct).	Lemon Shark (Negaprion acutidens) [ruppell]	(Rdl)
OC.QALAWA	Arava	The larger sort of cuttle fish; a large species of star fish, with four long and four short raysUncertain Semantic Connection	(Lmt)
CE.AAREA	Aarea	Intervalle, espace entre of the objets	Intervalle, espace entre des objets
PN.ALEALE.B	Areàre	Thin, worn out, as the bottom of a canoe...	(Dvs)
TA.ARE-ARE	Aneane	Clear, as a fine and cloudless atmosphereBorrowedPhonologically Irregular	(Dvs)
PN.QALELO	Arero	Langue (organe of l'homme et of the animaux)	Langue (organe de l'homme et des animaux)
CE.ARI	ʔAria	Comment! tiens! (exprimant the surprise)	Comment! tiens! (exprimant la surprise)
PN.QALI.1A	Ari/ari	Clear, fair, transparent	(Dvs)
