headword	definition
ā	again, once more
’amura’amā’a	table
a’ahiāta	dawn, early morning
’ana	to grate
’a’ahu’o’omo	shirt
’ana’ana	shining, to shine
’a’amu	legend
’ana’anatae	eager, enthusiastic
ā’au	reef, reefenclosure
āna’e	also, as well, only
ā’e	used to convey the comparative
’ananahi	tomorrow
’ananahi ātu	day after tomorrow
ā’e nei 	already
’ananahi’ia	pd tomorrow night
ā’e ra	then
’ananahi’ia po’ipo’i 	tomorrow morning
Ufa	half
'afa’i	to transport
’anani	orange
’afaro	straight
anapo	 tomorrow night
afata	box
anavai	river
afata tauiha’a 	parcel, baggage
anei	interrogative marker
afea?	when?
āni	to ask
āhiāhi	afternoon, evening
āo	world, day
ahiri	if, well, then
ā’o	to warn, chastise, preach
aho	to breathe
’a’o	fat of fish
’aho	rafter
’aore	no, not
’ahu	clothes, dress, shirt
’aore ra	or
ai	particle indicating movement
a	pae fifth
’ai	to eat (ofanimals)
apara	apple
’aita	no, not
aparima	kind of dance
’aita re’a	few
apetahi	kind of flower
aita roa ātu 	never
’api	page
’aiteā	not yet
’apt	new
’aito	champion
’api-parau	writing-paper
’aiū	baby
a	piti second
’ama’a	branch
’apo’o	hole
’ama’a rā’au	branch, stick
Apo’ora’a	Rahi Territorial Assembly
a maha	fourth
amo	to carry on the shoulder
āra	to wake up, beware
’amu	to eat
’arapo’a	neck, throat
’amui	bundle of goods, tied
’ara’uā’e	soon
area	period
are’a ra 	however
’arearea	amusement
are miti	wave
ari	i king, royal family
ari‘i vahine	 queen
āroā	street, avenue
āroha	to greet
’ata	to laugh, stem
āta	cloud
’ata	difficult, bunch
’a tae roa ātu 	until, as far as
a tahi	first
atari	bunch of fruit
ātea	distant, far away
Atete	August
’ati	disaster, misfortune
atira	enough
āto	to thatch
’ato’a	also
Atopa	October
a toru	third
ātu	indicates movement away
from	the speaker
atua	God
Utura	then
’atu’atu	to arrange, to place, neat
au	I, me
’au	to chew
’au	to swim
āu	nice, good, to like
ā’u	to hunt
’aua	fence, enclosure
auā’e	fortunately
āuahi	fire
āuā’u	to hunt, pursue
’aufau	to pay
’auri	iron, spear
’aute	hibiscus
Auteraria	Australia
āva	passage (between reefs)
’ava’ava	cigarette, sour, salty
’avae	leg
’ava’e	month, moon
āvatea	afternoon
’e	it is, demonstrative particle
e	different
’e aha? 	what? why?
’e aha te huru? 	how are things?
’eahatetumu?	for what reason?
’e’ere	not
’ehia?	how much?
’ehia moni? 	how much?
’ei	in, at, as
’em	thief
’eiaha	negative imperative
’eiaha’e	rū! there’s no hurry!
’e’ita	no, not (future)
ena	already
’e’ore	no, not (future)
’e	paha perhaps
Eperera	April
’e	raverahi many, numerous
’er	e’er e black, brown
’e	riro paha perhaps
’e	tae atu until, as far as
’ete	basket
’e	te vai ātura etcetera
’e	vai? by whom?
fa’a	valley
fa’a-	causative prefix
fa’a’afaro	to straighten
fa’a’ahu	to clothe
fa’a’amu	to adopt a child, to feed
fa’a’amura’a	breeding
fa’a’apu	farmer, plantation, to cultivate
